                  Question Number,                        Error,                  Line Number,                      Error Type,Error correction
6,age>18 prints not eligible,36,Logical error,"if(age>=18) printf(""eligible"");"
6,Else prints eligible,46,Logical error,else should print not eligible
6,a>b prints smaller number as a,57,Logical error,print larger number or change message
6,a<b prints smaller number as b,59,Logical error,should print a as smaller
6,if(y<largest),68,Logical error,if(y>largest)
6,if(z<largest),71,Logical error,if(z>largest)
6,Integer division in average calculation,81,Logical error,avg=(float)totalMarks/subjects;
6,Circle area formula uses 2*3.14*r²,91,Logical error,area=3.14*radius²
6,Month 1 prints february,102,Logical error,print January
6,Month 2 prints March,112,Logical error,print February
6,Month 3 prints April,136,Logical error,print March
6,Month 4 prints May,144,Logical error,print April
6,isPrime=1; when factor found,156,Logical error,isPrime=0;
6,if prime prints not prime,160,Logical error,print prime
6,discount fixed as 5,171,Logical error,calculate actual discount amount
6,purchaseAmount+ discount,181,Logical error,purchaseAmount-discount
6,sum=1;,192,Logical error,sum+=i;
6,Temp has than 40 prints cold weather,203,Logical error,use suitable temprature range
6,Grade A prints Average Performance,211,Logical error,print excellent performance
6,Rectangle area=length+width,213,Logical error,rectanglearea=length*width;
6,percentage>=60 prints fail,214,Logical error,print pass
6,Else prints pass,214,Logical error,else should print not pass
7,i<=5 accesses marks[5],9,Logical error,i<5
7,average=total/5;,25,Logical error,average=(float)total/5;
7,i<=10 accesses numbers[10],33,Array out of Bounds,i<10
7,"strcpy(name,""ComputeScience"");",48,Buffer Overflow,increase array size
7,"city=""delhi"";",56,Array Assignment Error,"strcpy(city,""delhi"");"
7,if(str1==str2),64,String comparison,"if(strcmp(str1,str2)==0)"
7,gets(password);,76,Buffer Overflow,"fgets(password,sizeof(password),stdin);"
7,"strcat(firstname,lastName);",84,Buffer Overflow,increase array size or use strcat()
7,grade not null terminated,95,String handling,Add grade[2]='\0';
7,arr[-1],103,Invalid array index,use valid index 0-4
7,"scanf(""%s"",department);",111,Buffer Overflow,limit input length(%9s)
7,scores[3]=60;,125,Array out of Bounds,Array size should be 4 
7,"printf(""%d\n"",scores[3]);",127,Array out of Bounds,Access valid index
7,"char subject[10]=""programming"";",131,Buffer Overflow,increase array size
7,"if(username==""admin"")",141,String comparison,"strcmp(username,""admin"")==0"
7,"strcpy(mobile,""987654321012"");",153,Buffer Overflow,increase array size
7,i<=5 accesses attendance[5],163,Array out of Bounds,i<5
7,course[20],173,Array out of Bounds,use valid index 0-19
7,college not null terminated,186,String handling,Add college[5]='\0';
7,"char section[3]=""IT-A"";",204,Syntax Error,"char section[5]=""IT-A"";"
8,result=add(num1);,15,Function Assignment Error,"result=add(num1,num2);"
8,"avg=average(70,80);",21,Function Argument Error,"avg=average(70,80,90);"
8,calculateGrade(marks);,61,Function not declared,declare and define calculateGrade()
8,area=circleArea(5);,67,Function not declared,declare and define calculateArea()
8,total=sumArray();,73,Function not declared,declare tnd define sumArray()
8,displayResult();,79,Function not declared,declare and define displayResult()
8,if(n==0) return 0; in factorial,96,Logical error,factorial of 0 should return 1
8,maximum(),115,Logical error,"return a if a>b,else b"
8,return fibonacci(n)+fibonacci(n-1);,128,infinite recursion,return fibonacci(n-1)+fibonacci(n-2);
8,return (a+b+c)/3;,140,Type conversion,return (a+b+c)/3.0;
8,return marks/total*100;,150,Integer division,return(marks*100.0)/total;
8,return; in SI,160,Return type error,return si;
8,for(int i=1;i<exp;i++),176,Logical error,i<=exp
8,reverseNumber()has no return ,194,Logical error,return rev;
8,isPrime() returns 1 when divisible,217,Logical error,return 0 when divisible
8,return o; for prime number,220,Logical error,return 1 for prime
8,for(int i=1;i<size;i++),244,Array out of Bounds,i<size
8,recursiveDemo(n+1);,251,infinite recursion,Add stopping condition
8,return length+width;,262,Logical error,return length*width;
8,return n*n; in cube,272,Logical error,return n*n*n;
9,"printf(""%d\n"",*ptr1);",13,Semantic Error,intialize ptr1
9,*ptr2=100;,17,Null pointer dereference,Allocate memory or point 
9,"ptr3++; printf(""%d\n'',*ptr3);",27,invalid pointer access,do not increment beyond memory
9,*(ptr4+10),33,Array out of Bounds,use indices with range(0-4)
9,"printf(""%d\n"",*ptr5);",45,use after free,Do not access freed memory
9,ptr6=NULL;,51,memory leak,free(ptr6); ptr6=NULL;
9,Allocated 5 bytes but storing 10 int,57,Buffer Overflow,Allocate enough memory
9,ptr8[3]=40;,71,Array out of Bounds,"valid indices are 0,1,2"
9,free(ptr9); free(ptr9);,83,Double free error,free memory only once
9,"printf(""%d\n"",*ptr10);",89,uninitialized memory,Assign a value
9,for(i=0;i<=5;i++),95,Array out of Bounds,use i<5
9,pptr=&value;,111,Type mismatch,usean int *ptr=&value; pptr=&ptr;
9,"strcpy(name,""Programming"");",119,Buffer Overflow,Allocate enough memory
9,"ptr11++; printf(""%d\n"",*ptr11);",129,invalid pointer access,do not increment beyond memory
9,if(*ptr12>0),135,Null pointer dereference,check pointer before dereferencing
9,ptr13[100]=500;,147,Array out of Bounds,last valid index is 99
9,*ptr14=999;,155,use after free,do not use freed memory
9,p=matrix;,163,incompatible pointer assignment,p=&matrix[0][0];
9,*(p+20),165,Array out of Bounds,access within matrix size
9,ptr15=malloc(sizeof(int)); twice,171,memory leak,use only one
9,swap() swaps pointers not values,183,Logical error,use int temp=*a; *a=*b;
9,for(i=0;i<=size;i++) in printArray(),191,Array out of Bounds,use i<size
10,int choice=1,12,Syntax Error,int choice=1;
10,"int marks=""90"";",14,Type mismatch,int marks=90;
10,result=add(a);,20,Function Argument Error,"result=add(a,b);"
10,if(a=b),24,Assignment Error,if(a==b)
10,score not declared,29,undeclared variable,declare score
10,arr[10]=100;,33,Array out of Bounds,use valid index(0-4)
10,arr[-1],35,Invalid array index,use valid index
10,"strcpy(name,""ProgrammingLanguage"");",39,Buffer Overflow,increase array size
10,"city=""delhi"";",44,Array Assignment Error,"strcmp(city,""delhi);"
10,"if(user==""admin)",51,String comparison,"strcmp(user,""admin"");"
10,x/y where y=0,59,divide by zero,check y!=0
10,*ptr1=500;,63,Null pointer dereference,Allocate memory first
10,"printf(""%d\n"",*ptr2);",67,uninitialized memory,initialize pointer before use
10,Accessing *ptr3 after free(ptr3),77,use after free,Do not access freed memory
10,free(ptr3) again,79,Double free error,free memory only once
10,writing 10 elements to 5 byte allocation,87,Buffer Overflow,Allocate sufficient memory
10,ptr5=malloc(…) twice,93,memory leak,free first allocation
10,"average(70,80)",97,Function Argument Error,pass 3 arguments
10,isPrime=1; when factor found,117,Logical error,isPrime=0;
10,Prime number prints not prime,124,Logical error,"print ""prime"""
10,non-prime prints prime,126,Logical error,"print""not Prime"""
10,displayReport(); not defined,130,undefined function,define function
10,calculatesalary();,132,Function not declared,Add prototype and function
10,fscanf(fp…),140,file handling error,check fp!=NULL before use
10,case 1 missing:,146,Syntax Error,case 1:
10,char grade='ab';,157,invalid character constant,use 'A'
10,scores[3]=40;,166,Array out of Bounds,Array size should be 4 
10,"for(i=0;i<=3,i++)",171,Array out of Bounds,use i<3
10,2*3.14*radius²,183,Wrong formula,3.14*radius²
10,while(choice>0);,187,infinite recursion,remove semicolon
10,continue; outside loop,192,Syntax Error,remove or place inside loop
10,return (a+b+c)/3;,202,Integer division,return (a+b+c)/3.0;
